,ID,setting_name,openml_id,learner_name,sampling_strategy_name,test_split_seed,train_split_seed,seed,iteration,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss
0,2017,small,3,rf_entropy,random,0,0,0,0,0.78199052,0.78120037,0.78316155,0.78199052,0.8716133,0.5141018
1,2018,small,3,rf_entropy,random,0,0,0,1,0.76018957,0.75946209,0.76083095,0.76018957,0.84559279,0.52280864
2,2019,small,3,rf_entropy,random,0,0,0,2,0.77440758,0.77248678,0.77881244,0.77440758,0.87327334,0.50165364
3,2020,small,3,rf_entropy,random,0,0,0,3,0.77345972,0.77243359,0.7750723,0.77345972,0.86865331,0.49677141
4,2021,small,3,rf_entropy,random,0,0,0,4,0.75924171,0.75848379,0.75992901,0.75924171,0.85573488,0.51010155
5,2022,small,3,rf_entropy,random,0,0,0,5,0.81895735,0.81901305,0.81918798,0.81895735,0.9032315,0.47730628
6,2023,small,3,rf_entropy,random,0,0,0,6,0.82559242,0.82567801,0.82676641,0.82559242,0.90064601,0.4750872
7,2024,small,3,rf_entropy,random,0,0,0,7,0.79241706,0.79250324,0.79414057,0.79241706,0.88018538,0.48368054
8,2025,small,3,rf_entropy,random,0,0,0,8,0.85308057,0.85314949,0.8545077,0.85308057,0.93206436,0.45205293
9,2026,small,3,rf_entropy,random,0,0,0,9,0.83981043,0.8396978,0.83984108,0.83981043,0.92761177,0.45823727
10,2027,small,3,rf_entropy,random,0,0,0,10,0.80758294,0.80767633,0.80882759,0.80758294,0.88846398,0.4755948
11,2028,small,3,rf_entropy,random,0,0,0,11,0.82369668,0.82368113,0.8236715,0.82369668,0.91917293,0.44388337
12,2029,small,3,rf_entropy,random,0,0,0,12,0.83127962,0.83120322,0.83582843,0.83127962,0.91468794,0.44591309
13,2030,small,3,rf_entropy,random,0,0,0,13,0.8549763,0.85504281,0.85555329,0.8549763,0.93292679,0.42953638
14,2031,small,3,rf_entropy,random,0,0,0,14,0.80189573,0.80198867,0.80329353,0.80189573,0.88857561,0.47095093
15,2032,small,3,rf_entropy,random,0,0,0,15,0.82654028,0.82649967,0.82649625,0.82654028,0.92037385,0.43777306
16,2033,small,3,rf_entropy,random,0,0,0,16,0.80853081,0.80856693,0.81116913,0.80853081,0.89793089,0.45360167
17,2034,small,3,rf_entropy,random,0,0,0,17,0.82180095,0.82175932,0.82572213,0.82180095,0.91380031,0.43448676
18,2035,small,3,rf_entropy,random,0,0,0,18,0.82654028,0.82647171,0.8309115,0.82654028,0.91136246,0.4320706
