iter	Logloss
0	0.6908794075
1	0.6896355814
2	0.6883482995
3	0.6882895684
4	0.6861480611
5	0.6848525929
6	0.681765715
7	0.6817460462
8	0.6808617303
9	0.6801865444
10	0.6792547173
11	0.6774874663
12	0.6764582637
13	0.6761070736
14	0.6751677292
15	0.6731634453
16	0.6722619526
17	0.6709767966
18	0.6678022423
19	0.665927128
20	0.6646257131
21	0.6637541391
22	0.661936431
23	0.6613192065
24	0.658747802
25	0.6579499353
26	0.6568640113
27	0.6551861222
28	0.6536746189
29	0.6528123561
30	0.6501253314
31	0.6486006898
32	0.6477214746
33	0.6470439007
34	0.646833368
35	0.6448481051
36	0.6433626519
37	0.6411273904
38	0.639119183
39	0.6370992216
40	0.6364889669
41	0.6364033551
42	0.6339949621
43	0.6331786903
44	0.6322468964
45	0.6303221141
46	0.6289027308
47	0.6280584981
48	0.6274584035
49	0.6274484131
50	0.6269003586
51	0.6259973408
52	0.6246011443
53	0.6245920229
54	0.623595361
55	0.6228275985
56	0.622818568
57	0.6213431253
58	0.6213323873
59	0.6190262979
60	0.617757395
61	0.6149877479
62	0.6142874393
63	0.6124601073
64	0.6117394217
65	0.6108506897
66	0.60996801
67	0.608377855
68	0.6081184682
69	0.6067043171
70	0.6061434966
71	0.6056024444
72	0.6037041081
73	0.6026346508
74	0.6019969937
75	0.6007987123
76	0.5999717776
77	0.5997745199
78	0.5981567379
79	0.5975813206
80	0.5966616151
81	0.5948116207
82	0.5937456976
83	0.5923754034
84	0.5915675728
85	0.5904898378
86	0.5889253948
87	0.5861604432
88	0.586094406
89	0.5837242853
90	0.5828654999
91	0.5821013507
92	0.5812181642
93	0.5807465888
94	0.5804113462
95	0.5797944368
96	0.5793706295
97	0.5791751659
98	0.5779215175
99	0.5768413995
100	0.5756881027
101	0.5745188045
102	0.5720646458
103	0.5714420988
104	0.570004817
105	0.5689343207
106	0.5683888398
107	0.5670759439
108	0.5656550512
109	0.5650241473
110	0.5644137817
111	0.5625272226
112	0.5613577716
113	0.5608433618
114	0.5600664271
115	0.5593786058
116	0.558717327
117	0.5585019441
118	0.5577869903
119	0.5569684372
120	0.5562307948
121	0.5552358045
122	0.5547937903
123	0.554301714
124	0.5536542576
125	0.5536507431
126	0.5531055683
127	0.5527524772
128	0.5513418118
129	0.5508418869
130	0.5507119718
131	0.5494390066
132	0.549294737
133	0.547904584
134	0.5467274941
135	0.5462316869
136	0.545140484
137	0.5435160433
138	0.5428470805
139	0.5423859782
140	0.5413968826
141	0.540924237
142	0.5403559543
143	0.5393974247
144	0.5382848585
145	0.5370451168
146	0.5368144143
147	0.5355379686
148	0.533944311
149	0.5336619005
150	0.5305508449
151	0.5299799983
152	0.5284514182
153	0.5281559697
154	0.5275191341
155	0.5265951655
156	0.526149005
157	0.5250360689
158	0.5241614753
159	0.5236193849
160	0.5233116031
161	0.5213895033
162	0.5209973371
163	0.5200151787
164	0.5194073395
165	0.5188275117
166	0.5186516465
167	0.5182436455
168	0.5175363922
169	0.5169754312
170	0.5167880896
171	0.5162395216
172	0.514284957
173	0.5140710517
174	0.513789948
175	0.5125515922
176	0.5125001967
177	0.5115911854
178	0.5112159559
179	0.5111170156
180	0.5108771358
181	0.5103108748
182	0.5095890714
183	0.5085889901
184	0.5080748022
185	0.5080727268
186	0.5069651514
187	0.505763273
188	0.5043976567
189	0.5041089651
190	0.5035193466
191	0.5024415458
192	0.5020138423
193	0.5006835862
194	0.5001515837
195	0.4990244775
196	0.4980657417
197	0.497765816
198	0.496384748
199	0.4959950447
200	0.495651633
201	0.4954744525
202	0.4950633984
203	0.4940579424
204	0.493563273
205	0.4933955931
206	0.492875882
207	0.4919083182
208	0.4914514838
209	0.4904415556
210	0.4902169009
211	0.490051801
212	0.489566008
213	0.4893923511
214	0.4883754273
215	0.4877880017
216	0.4869020273
217	0.4868150739
218	0.4854973471
219	0.4845336924
220	0.4840638853
221	0.4836496837
222	0.4834460349
223	0.4822409373
224	0.4815088884
225	0.4813362161
226	0.4800289631
227	0.4785861552
228	0.4783597657
229	0.4783515047
230	0.47821667
231	0.4777622244
232	0.4774624044
233	0.4765678206
234	0.4761660804
235	0.4748828631
236	0.474624843
237	0.473836053
238	0.4726879258
239	0.4724047053
240	0.471889264
241	0.4716991581
242	0.4704433074
243	0.4703616401
244	0.4696641395
245	0.4686519233
246	0.4685928298
247	0.4684434224
248	0.4682982466
249	0.4676163272
250	0.4674696721
251	0.4665220258
252	0.4646604883
253	0.4646525159
254	0.4643675871
255	0.4639604065
256	0.4637211101
257	0.4634579004
258	0.463270589
259	0.4631696037
260	0.4624464388
261	0.4619141153
262	0.461591442
263	0.4607972352
264	0.460014883
265	0.4593783958
266	0.458582695
267	0.4582863525
268	0.457925661
269	0.457676534
270	0.4573647424
271	0.4570837427
272	0.456548999
273	0.45478431
274	0.4547232002
275	0.4547235294
276	0.4538972148
277	0.4536295378
278	0.4532098174
279	0.4527753102
280	0.4523691136
281	0.4523310316
282	0.4519098449
283	0.4517587032
284	0.4517581596
285	0.4517299971
286	0.4513880669
287	0.4492174237
288	0.4485322941
289	0.4485317825
290	0.4481965853
291	0.4476673162
292	0.4474436519
293	0.4472651746
294	0.4470136119
295	0.4462560428
296	0.446059865
297	0.4448638923
298	0.4433363909
299	0.4424720086
300	0.4419693968
301	0.4413417161
302	0.4410464898
303	0.4406938087
304	0.4406252583
305	0.4402646276
306	0.4391679405
307	0.4387538349
308	0.4375692654
309	0.4367523928
310	0.4362244492
311	0.4351074717
312	0.4347836939
313	0.4344643295
314	0.4343334541
315	0.4332457639
316	0.4320185562
317	0.4314823101
318	0.430702109
319	0.429769948
320	0.4287446818
321	0.4284355578
322	0.4283891219
323	0.4274520472
324	0.4270813244
325	0.425964642
326	0.4253491246
327	0.4243990034
328	0.4236843149
329	0.423435643
330	0.4229104591
331	0.4221473372
332	0.4216122857
333	0.4215771712
334	0.4212936478
335	0.4211980417
336	0.4211973363
337	0.4209365965
338	0.4200204238
339	0.4195651331
340	0.4189776201
341	0.418860339
342	0.4187383687
343	0.4179001507
344	0.4173119964
345	0.4172455937
346	0.4160193482
347	0.4149461515
348	0.4143335213
349	0.4139094754
350	0.4137513752
351	0.4130064872
352	0.412740141
353	0.4125860976
354	0.4120523094
355	0.4115705567
356	0.4115688254
357	0.4110041732
358	0.4103147231
359	0.4093590585
360	0.4089029514
361	0.4085236417
362	0.4085240049
363	0.4079748009
364	0.4072462481
365	0.4065293101
366	0.4059373059
367	0.4048060237
368	0.4033563551
369	0.4028469262
370	0.4025908362
371	0.4016568055
372	0.4001303837
373	0.3992618233
374	0.3989657175
375	0.3967949517
376	0.3966799087
377	0.3963034895
378	0.3958284849
379	0.3949180495
380	0.3941500178
381	0.3935348417
382	0.393481296
383	0.3931140419
384	0.3930384606
385	0.3928398513
386	0.3926427008
387	0.3920684227
388	0.3918255065
389	0.3911999782
390	0.3910026688
391	0.3900761982
392	0.3896067922
393	0.3892620971
394	0.3887407985
