iter	Passed	Remaining
0	0	19
1	0	13
2	0	11
3	0	10
4	0	9
5	6	105
6	6	91
7	7	81
8	7	72
9	7	64
10	7	58
11	7	53
12	7	49
13	7	46
14	7	43
15	7	40
16	7	37
17	7	35
18	7	33
19	7	31
20	8	30
21	8	28
22	8	27
23	8	25
24	8	24
25	8	23
26	8	22
27	8	21
28	8	21
29	8	20
30	8	19
31	8	18
32	8	18
33	9	17
34	9	16
35	9	16
36	9	15
37	9	15
38	9	14
39	9	14
40	9	13
41	17	23
42	28	37
43	33	42
44	33	41
45	33	39
46	34	38
47	34	36
48	34	35
49	34	34
50	34	33
51	34	31
52	34	30
53	34	29
54	34	28
55	34	27
56	34	26
57	34	25
58	34	24
59	34	23
60	35	22
61	35	21
62	35	20
63	35	19
64	35	18
65	35	18
66	35	17
67	35	16
68	35	15
69	35	15
70	35	14
71	35	13
72	35	13
73	35	12
74	35	11
75	36	11
76	36	10
77	36	10
78	36	9
79	36	9
80	48	11
81	48	10
82	48	9
83	48	9
84	48	8
85	48	7
86	48	7
87	48	6
88	48	6
89	49	5
90	49	4
91	49	4
92	49	3
93	49	3
94	49	2
95	49	2
96	49	1
97	49	1
98	49	0
99	49	0
